BIOGUIDE_ID,OFFICE,YEAR,QUARTER,CATEGORY,YTD,AMOUNT
,OFFICE OF THE SPEAKER,FISCAL YEAR 2011,2011Q3,PERSONNEL COMPENSATION,1212883.02,342975
,OFFICE OF THE SPEAKER,FISCAL YEAR 2011,2011Q3,PERSONNEL COMPENSATION,2650166.3,621333.15
,OFFICE OF THE SPEAKER,FISCAL YEAR 2011,2011Q3,TRAVEL,27185.19,2638.66
,OFFICE OF THE SPEAKER,FISCAL YEAR 2011,2011Q3,"RENT, COMMUNICATION, UTILITIES",5996.57,292.37
,OFFICE OF THE SPEAKER,FISCAL YEAR 2011,2011Q3,PRINTING AND REPRODUCTION,8194.08,552.64
,OFFICE OF THE SPEAKER,FISCAL YEAR 2011,2011Q3,OTHER SERVICES,25462.11,371.94
,OFFICE OF THE SPEAKER,FISCAL YEAR 2011,2011Q3,SUPPLIES AND MATERIALS,150957.36,30989.08
,OFFICE OF THE SPEAKER,FISCAL YEAR 2011,2011Q3,PERSONNEL BENEFITS,18749.97,6249.99
,OFFICE OF THE MAJORITY LEADER,FISCAL YEAR 2011,2011Q3,PERSONNEL COMPENSATION,848106.39,256705.5
,OFFICE OF THE MAJORITY LEADER,FISCAL YEAR 2011,2011Q3,PERSONNEL COMPENSATION,1481537.67,346288.84
,OFFICE OF THE MAJORITY LEADER,FISCAL YEAR 2011,2011Q3,TRAVEL,9663.58,1552.52
,OFFICE OF THE MAJORITY LEADER,FISCAL YEAR 2011,2011Q3,"RENT, COMMUNICATION, UTILITIES",2351.53,32.27
,OFFICE OF THE MAJORITY LEADER,FISCAL YEAR 2011,2011Q3,PRINTING AND REPRODUCTION,1887.5,-904.2
,OFFICE OF THE MAJORITY LEADER,FISCAL YEAR 2011,2011Q3,OTHER SERVICES,7584.88,-16200
,OFFICE OF THE MAJORITY LEADER,FISCAL YEAR 2011,2011Q3,SUPPLIES AND MATERIALS,40849.97,10252.71
,OFFICE OF THE MAJORITY LEADER,FISCAL YEAR 2011,2011Q3,EQUIPMENT,1500,1500
,OFFICE OF THE MAJORITY LEADER,FISCAL YEAR 2011,2011Q3,PERSONNEL BENEFITS,2499.99,0
,OFFICE OF THE MINORITY LEADER,FISCAL YEAR 2011,2011Q3,PERSONNEL COMPENSATION,803393.14,162159
,OFFICE OF THE MINORITY LEADER,FISCAL YEAR 2011,2011Q3,PERSONNEL COMPENSATION,2464209,662838.61
,OFFICE OF THE MINORITY LEADER,FISCAL YEAR 2011,2011Q3,TRAVEL,84118.67,27337.3
,OFFICE OF THE MINORITY LEADER,FISCAL YEAR 2011,2011Q3,"RENT, COMMUNICATION, UTILITIES",5491.31,874.49
,OFFICE OF THE MINORITY LEADER,FISCAL YEAR 2011,2011Q3,PRINTING AND REPRODUCTION,11513.41,2146.74
,OFFICE OF THE MINORITY LEADER,FISCAL YEAR 2011,2011Q3,OTHER SERVICES,80958.69,23934.19
,OFFICE OF THE MINORITY LEADER,FISCAL YEAR 2011,2011Q3,SUPPLIES AND MATERIALS,257874.78,42565.49
,OFFICE OF THE MINORITY LEADER,FISCAL YEAR 2011,2011Q3,EQUIPMENT,3899,3400
,OFFICE OF THE MINORITY LEADER,FISCAL YEAR 2011,2011Q3,PERSONNEL BENEFITS,2499.99,0
,OFFICE OF THE MINORITY LEADER,FISCAL YEAR 2011,2011Q3,SUPPLIES AND MATERIALS,5565.2,5565.2
,OFFICE OF THE MAJORITY WHIP,FISCAL YEAR 2011,2011Q3,PERSONNEL COMPENSATION,360574.51,117125.01
,OFFICE OF THE MAJORITY WHIP,FISCAL YEAR 2011,2011Q3,PERSONNEL COMPENSATION,1482109.94,369111.15
,OFFICE OF THE MAJORITY WHIP,FISCAL YEAR 2011,2011Q3,TRAVEL,1975.63,78.5
,OFFICE OF THE MAJORITY WHIP,FISCAL YEAR 2011,2011Q3,"RENT, COMMUNICATION, UTILITIES",2892.48,13.72
,OFFICE OF THE MAJORITY WHIP,FISCAL YEAR 2011,2011Q3,PRINTING AND REPRODUCTION,2464.25,71
,OFFICE OF THE MAJORITY WHIP,FISCAL YEAR 2011,2011Q3,OTHER SERVICES,1728.6,-3510
,OFFICE OF THE MAJORITY WHIP,FISCAL YEAR 2011,2011Q3,SUPPLIES AND MATERIALS,179069.7,71024.55
,OFFICE OF THE MAJORITY WHIP,FISCAL YEAR 2011,2011Q3,EQUIPMENT,9085,-7751
,OFFICE OF THE MINORITY WHIP,FISCAL YEAR 2011,2011Q3,PERSONNEL COMPENSATION,87705.65,0
,OFFICE OF THE MINORITY WHIP,FISCAL YEAR 2011,2011Q3,PERSONNEL COMPENSATION,1354761.46,362313.53
,OFFICE OF THE MINORITY WHIP,FISCAL YEAR 2011,2011Q3,TRAVEL,2052.75,343
,OFFICE OF THE MINORITY WHIP,FISCAL YEAR 2011,2011Q3,"RENT, COMMUNICATION, UTILITIES",4773.51,344.99
,OFFICE OF THE MINORITY WHIP,FISCAL YEAR 2011,2011Q3,PRINTING AND REPRODUCTION,26608.71,4287.65
,OFFICE OF THE MINORITY WHIP,FISCAL YEAR 2011,2011Q3,OTHER SERVICES,4525.63,253.49
,OFFICE OF THE MINORITY WHIP,FISCAL YEAR 2011,2011Q3,SUPPLIES AND MATERIALS,91212.04,10121.9
,OFFICE OF THE MINORITY WHIP,FISCAL YEAR 2011,2011Q3,PERSONNEL BENEFITS,1055.54,0
,OFFICE OF THE MINORITY WHIP,FISCAL YEAR 2011,2011Q3,SUPPLIES AND MATERIALS,3917.38,3917.38
,DEMOCRATIC STEERING AND POLICY,FISCAL YEAR 2011,2011Q3,PERSONNEL COMPENSATION,525797.82,105750
,DEMOCRATIC STEERING AND POLICY,FISCAL YEAR 2011,2011Q3,PERSONNEL COMPENSATION,771220.05,172007.58
,DEMOCRATIC CAUCUS,FISCAL YEAR 2011,2011Q3,PERSONNEL COMPENSATION,348749.99,97187.49
,DEMOCRATIC CAUCUS,FISCAL YEAR 2011,2011Q3,PERSONNEL COMPENSATION,1003572.75,212568.09
,DEMOCRATIC CAUCUS,FISCAL YEAR 2011,2011Q3,TRAVEL,18693.6,1098.36
,DEMOCRATIC CAUCUS,FISCAL YEAR 2011,2011Q3,"RENT, COMMUNICATION, UTILITIES",1155,0
,DEMOCRATIC CAUCUS,FISCAL YEAR 2011,2011Q3,PRINTING AND REPRODUCTION,1176.17,107.67
,DEMOCRATIC CAUCUS,FISCAL YEAR 2011,2011Q3,OTHER SERVICES,4732.84,1130.7
,DEMOCRATIC CAUCUS,FISCAL YEAR 2011,2011Q3,SUPPLIES AND MATERIALS,49608.76,13270.93
,REPUBLICAN CONFERENCE,FISCAL YEAR 2011,2011Q3,PERSONNEL COMPENSATION,309785.3,76875
,REPUBLICAN CONFERENCE,FISCAL YEAR 2011,2011Q3,PERSONNEL COMPENSATION,962813.83,226027.78
,REPUBLICAN CONFERENCE,FISCAL YEAR 2011,2011Q3,TRAVEL,4071.79,81.83
,REPUBLICAN CONFERENCE,FISCAL YEAR 2011,2011Q3,"RENT, COMMUNICATION, UTILITIES",5252.16,0
,REPUBLICAN CONFERENCE,FISCAL YEAR 2011,2011Q3,OTHER SERVICES,100,0
,REPUBLICAN CONFERENCE,FISCAL YEAR 2011,2011Q3,SUPPLIES AND MATERIALS,121633.98,13829.94
,REPUBLICAN POLICY COMMITTEE,FISCAL YEAR 2011,2011Q3,PERSONNEL COMPENSATION,247996.78,80000.04
,REPUBLICAN POLICY COMMITTEE,FISCAL YEAR 2011,2011Q3,OTHER SERVICES,47,0
,REPUBLICAN POLICY COMMITTEE,FISCAL YEAR 2011,2011Q3,SUPPLIES AND MATERIALS,176.48,0
,REPUBLICAN STEERING COMMITTEE,FISCAL YEAR 2011,2011Q3,PERSONNEL COMPENSATION,681226,168374.98
,REPUBLICAN STEERING COMMITTEE,FISCAL YEAR 2011,2011Q3,PERSONNEL COMPENSATION,5408.55,-7000
,MINORITY EMPLOYEES,FISCAL YEAR 2011,2011Q3,PERSONNEL COMPENSATION,1404133.66,381867.16
,LEGISLATIVE FLOOR ACTIVITIES,FISCAL YEAR 2011,2011Q3,PERSONNEL COMPENSATION,282163.05,32499.99
,RC-TRAINING & PROGRAM DEVEL.,FISCAL YEAR 2011,2011Q3,PERSONNEL COMPENSATION,116670.86,116670.86
,RC-TRAINING & PROGRAM DEVEL.,FISCAL YEAR 2011,2011Q3,PERSONNEL COMPENSATION,0,-94170.86
