BIOGUIDE_ID,OFFICE,YEAR,QUARTER,CATEGORY,YTD,AMOUNT
,OFFICE OF THE SPEAKER,FISCAL YEAR 2011,2010Q4,PERSONNEL COMPENSATION,"185,966.34","185,966.34"
,OFFICE OF THE SPEAKER,FISCAL YEAR 2011,2010Q4,PERSONNEL COMPENSATION,"778,187.06","778,187.06"
,OFFICE OF THE SPEAKER,FISCAL YEAR 2011,2010Q4,TRAVEL,"16,344.74","16,344.74"
,OFFICE OF THE SPEAKER,FISCAL YEAR 2011,2010Q4,"RENT, COMMUNICATION, UTILITIES","2,793.54","2,793.54"
,OFFICE OF THE SPEAKER,FISCAL YEAR 2011,2010Q4,PRINTING AND REPRODUCTION,"3,700.24","3,700.24"
,OFFICE OF THE SPEAKER,FISCAL YEAR 2011,2010Q4,OTHER SERVICES,"16,042.17","16,042.17"
,OFFICE OF THE SPEAKER,FISCAL YEAR 2011,2010Q4,SUPPLIES AND MATERIALS,"33,990.56","33,990.56"
,OFFICE OF THE SPEAKER,FISCAL YEAR 2011,2010Q4,SUPPLIES AND MATERIALS,"19,138.00","19,138.00"
,OFFICE OF THE MAJORITY LEADER,FISCAL YEAR 2011,2010Q4,PERSONNEL COMPENSATION,"81,875.01","81,875.01"
,OFFICE OF THE MAJORITY LEADER,FISCAL YEAR 2011,2010Q4,PERSONNEL COMPENSATION,"495,887.58","495,887.58"
,OFFICE OF THE MAJORITY LEADER,FISCAL YEAR 2011,2010Q4,TRAVEL,144.32,144.32
,OFFICE OF THE MAJORITY LEADER,FISCAL YEAR 2011,2010Q4,PRINTING AND REPRODUCTION,209.60,209.60
,OFFICE OF THE MAJORITY LEADER,FISCAL YEAR 2011,2010Q4,SUPPLIES AND MATERIALS,450.64,450.64
,OFFICE OF THE MAJORITY LEADER,FISCAL YEAR 2011,2010Q4,PERSONNEL BENEFITS,"2,499.99","2,499.99"
,OFFICE OF THE MINORITY LEADER,FISCAL YEAR 2011,2010Q4,PERSONNEL COMPENSATION,"317,849.97","317,849.97"
,OFFICE OF THE MINORITY LEADER,FISCAL YEAR 2011,2010Q4,PERSONNEL COMPENSATION,"459,870.46","459,870.46"
,OFFICE OF THE MINORITY LEADER,FISCAL YEAR 2011,2010Q4,TRAVEL,"4,219.67","4,219.67"
,OFFICE OF THE MINORITY LEADER,FISCAL YEAR 2011,2010Q4,"RENT, COMMUNICATION, UTILITIES",328.14,328.14
,OFFICE OF THE MINORITY LEADER,FISCAL YEAR 2011,2010Q4,PRINTING AND REPRODUCTION,92.90,92.90
,OFFICE OF THE MINORITY LEADER,FISCAL YEAR 2011,2010Q4,OTHER SERVICES,"5,800.00","5,800.00"
,OFFICE OF THE MINORITY LEADER,FISCAL YEAR 2011,2010Q4,SUPPLIES AND MATERIALS,"25,482.60","25,482.60"
,OFFICE OF THE MINORITY LEADER,FISCAL YEAR 2011,2010Q4,PERSONNEL BENEFITS,"2,499.99","2,499.99"
,OFFICE OF THE MAJORITY WHIP,FISCAL YEAR 2011,2010Q4,PERSONNEL COMPENSATION,"49,602.75","49,602.75"
,OFFICE OF THE MAJORITY WHIP,FISCAL YEAR 2011,2010Q4,PERSONNEL COMPENSATION,"360,242.55","360,242.55"
,OFFICE OF THE MAJORITY WHIP,FISCAL YEAR 2011,2010Q4,TRAVEL,927.27,927.27
,OFFICE OF THE MAJORITY WHIP,FISCAL YEAR 2011,2010Q4,"RENT, COMMUNICATION, UTILITIES",587.10,587.10
,OFFICE OF THE MAJORITY WHIP,FISCAL YEAR 2011,2010Q4,PRINTING AND REPRODUCTION,67.80,67.80
,OFFICE OF THE MAJORITY WHIP,FISCAL YEAR 2011,2010Q4,OTHER SERVICES,"1,233.60","1,233.60"
,OFFICE OF THE MAJORITY WHIP,FISCAL YEAR 2011,2010Q4,SUPPLIES AND MATERIALS,"8,590.15","8,590.15"
,OFFICE OF THE MINORITY WHIP,FISCAL YEAR 2011,2010Q4,PERSONNEL COMPENSATION,"85,799.01","85,799.01"
,OFFICE OF THE MINORITY WHIP,FISCAL YEAR 2011,2010Q4,PERSONNEL COMPENSATION,"270,884.80","270,884.80"
,OFFICE OF THE MINORITY WHIP,FISCAL YEAR 2011,2010Q4,TRAVEL,116.50,116.50
,OFFICE OF THE MINORITY WHIP,FISCAL YEAR 2011,2010Q4,"RENT, COMMUNICATION, UTILITIES","4,381.24","4,381.24"
,OFFICE OF THE MINORITY WHIP,FISCAL YEAR 2011,2010Q4,PRINTING AND REPRODUCTION,"10,949.36","10,949.36"
,OFFICE OF THE MINORITY WHIP,FISCAL YEAR 2011,2010Q4,OTHER SERVICES,"4,063.60","4,063.60"
,OFFICE OF THE MINORITY WHIP,FISCAL YEAR 2011,2010Q4,SUPPLIES AND MATERIALS,"45,839.60","45,839.60"
,DEMOCRATIC STEERING AND POLICY,FISCAL YEAR 2011,2010Q4,PERSONNEL COMPENSATION,"201,526.50","201,526.50"
,DEMOCRATIC STEERING AND POLICY,FISCAL YEAR 2011,2010Q4,PERSONNEL COMPENSATION,"229,929.31","229,929.31"
,DEMOCRATIC CAUCUS,FISCAL YEAR 2011,2010Q4,PERSONNEL COMPENSATION,"77,075.01","77,075.01"
,DEMOCRATIC CAUCUS,FISCAL YEAR 2011,2010Q4,PERSONNEL COMPENSATION,"321,910.66","321,910.66"
,DEMOCRATIC CAUCUS,FISCAL YEAR 2011,2010Q4,TRAVEL,128.00,128.00
,DEMOCRATIC CAUCUS,FISCAL YEAR 2011,2010Q4,PRINTING AND REPRODUCTION,175.00,175.00
,DEMOCRATIC CAUCUS,FISCAL YEAR 2011,2010Q4,OTHER SERVICES,706.03,706.03
,DEMOCRATIC CAUCUS,FISCAL YEAR 2011,2010Q4,SUPPLIES AND MATERIALS,"18,907.29","18,907.29"
,REPUBLICAN CONFERENCE,FISCAL YEAR 2011,2010Q4,PERSONNEL COMPENSATION,"81,875.01","81,875.01"
,REPUBLICAN CONFERENCE,FISCAL YEAR 2011,2010Q4,PERSONNEL COMPENSATION,"265,555.53","265,555.53"
,REPUBLICAN CONFERENCE,FISCAL YEAR 2011,2010Q4,TRAVEL,"3,809.96","3,809.96"
,REPUBLICAN CONFERENCE,FISCAL YEAR 2011,2010Q4,"RENT, COMMUNICATION, UTILITIES","1,600.00","1,600.00"
,REPUBLICAN CONFERENCE,FISCAL YEAR 2011,2010Q4,OTHER SERVICES,100.00,100.00
,REPUBLICAN CONFERENCE,FISCAL YEAR 2011,2010Q4,SUPPLIES AND MATERIALS,"34,462.65","34,462.65"
,REPUBLICAN POLICY COMMITTEE,FISCAL YEAR 2011,2010Q4,PERSONNEL COMPENSATION,"9,575.01","9,575.01"
,REPUBLICAN POLICY COMMITTEE,FISCAL YEAR 2011,2010Q4,OTHER SERVICES,47.00,47.00
,REPUBLICAN POLICY COMMITTEE,FISCAL YEAR 2011,2010Q4,SUPPLIES AND MATERIALS,80.72,80.72
,REPUBLICAN STEERING COMMITTEE,FISCAL YEAR 2011,2010Q4,PERSONNEL COMPENSATION,"172,522.50","172,522.50"
,REPUBLICAN STEERING COMMITTEE,FISCAL YEAR 2011,2010Q4,PERSONNEL COMPENSATION,"1,955.56","1,955.56"
,MINORITY EMPLOYEES,FISCAL YEAR 2011,2010Q4,PERSONNEL COMPENSATION,"261,107.49","261,107.49"
,LEGISLATIVE FLOOR ACTIVITIES,FISCAL YEAR 2011,2010Q4,PERSONNEL COMPENSATION,"129,375.00","129,375.00"
,RC-TRAINING & PROGRAM DEVEL.,FISCAL YEAR 2011,2010Q4,PERSONNEL COMPENSATION,"46,144.41","46,144.41"
,DS-TRAINING & PROGRAM DEVEL.,FISCAL YEAR 2011,2010Q4,PERSONNEL COMPENSATION,"38,787.99","38,787.99"
,CLOAKROOM PERSONNEL - MAJ,FISCAL YEAR 2011,2010Q4,PERSONNEL COMPENSATION,"106,389.00","106,389.00"
,CLOAKROOM PERSONNEL - MIN,FISCAL YEAR 2011,2010Q4,PERSONNEL COMPENSATION,"95,787.48","95,787.48"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2011,2010Q4,OTHER SERVICES,"581,775.00","581,775.00"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2011,2010Q4,EQUIPMENT,"252,232.59","252,232.59"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2011,2010Q4,EQUIPMENT,"1,655,040.00","1,655,040.00"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2011,2010Q4,OTHER SERVICES,"53,517.34","53,517.34"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2011,2010Q4,SUPPLIES AND MATERIALS,"7,483.17","7,483.17"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2011,2010Q4,PERSONNEL COMPENSATION,"15,074,528.77","15,074,528.77"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2011,2010Q4,SUPPLIES AND MATERIALS,160.65,160.65
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2011,2010Q4,OTHER SERVICES,"43,872.70","43,872.70"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2011,2010Q4,EQUIPMENT,"315,395.65","315,395.65"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2011,2010Q4,"RENT, COMMUNICATION, UTILITIES","7,218.08","7,218.08"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2011,2010Q4,OTHER SERVICES,"1,619.25","1,619.25"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2011,2010Q4,SUPPLIES AND MATERIALS,"4,315.80","4,315.80"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2011,2010Q4,EQUIPMENT,"1,798.59","1,798.59"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2011,2010Q4,SUPPLIES AND MATERIALS,48.00,48.00
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2011,2010Q4,TRAVEL,"3,306.87","3,306.87"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2011,2010Q4,"RENT, COMMUNICATION, UTILITIES",872.55,872.55
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2011,2010Q4,OTHER SERVICES,"36,061.28","36,061.28"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2011,2010Q4,SUPPLIES AND MATERIALS,"1,526.87","1,526.87"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2011,2010Q4,PRINTING AND REPRODUCTION,148.00,148.00
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2011,2010Q4,SUPPLIES AND MATERIALS,399.02,399.02
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2011,2010Q4,TRAVEL,"33,721.82","33,721.82"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2011,2010Q4,"RENT, COMMUNICATION, UTILITIES","877,762.13","877,762.13"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2011,2010Q4,PRINTING AND REPRODUCTION,"1,062.30","1,062.30"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2011,2010Q4,OTHER SERVICES,"304,995.26","304,995.26"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2011,2010Q4,SUPPLIES AND MATERIALS,"96,531.29","96,531.29"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2011,2010Q4,EQUIPMENT,"248,325.26","248,325.26"
