"OFFICE","YEAR","QUARTER","CATEGORY","YTD","AMOUNT"
"OFFICE OF THE SPEAKER","FISCAL YEAR 2011","2011Q2","PERSONNEL COMPENSATION","869,908.02","342,975.00"
"OFFICE OF THE SPEAKER","FISCAL YEAR 2011","2011Q2","PERSONNEL COMPENSATION","2,028,833.15","620,022.16"
"OFFICE OF THE SPEAKER","FISCAL YEAR 2011","2011Q2","TRAVEL","24,546.53","5,332.95"
"OFFICE OF THE SPEAKER","FISCAL YEAR 2011","2011Q2","RENT, COMMUNICATION, UTILITIES","5,704.20","259.35"
"OFFICE OF THE SPEAKER","FISCAL YEAR 2011","2011Q2","PRINTING AND REPRODUCTION","7,641.44","1,429.50"
"OFFICE OF THE SPEAKER","FISCAL YEAR 2011","2011Q2","OTHER SERVICES","25,090.17","495.00"
"OFFICE OF THE SPEAKER","FISCAL YEAR 2011","2011Q2","SUPPLIES AND MATERIALS","119,968.28","24,580.58"
"OFFICE OF THE SPEAKER","FISCAL YEAR 2011","2011Q2","PERSONNEL BENEFITS","12,499.98","6,249.99"
"OFFICE OF THE MAJORITY LEADER","FISCAL YEAR 2011","2011Q2","PERSONNEL COMPENSATION","591,400.89","256,705.50"
"OFFICE OF THE MAJORITY LEADER","FISCAL YEAR 2011","2011Q2","PERSONNEL COMPENSATION","1,135,248.83","324,287.46"
"OFFICE OF THE MAJORITY LEADER","FISCAL YEAR 2011","2011Q2","TRAVEL","8,111.06","5,229.98"
"OFFICE OF THE MAJORITY LEADER","FISCAL YEAR 2011","2011Q2","RENT, COMMUNICATION, UTILITIES","2,319.26","1,598.28"
"OFFICE OF THE MAJORITY LEADER","FISCAL YEAR 2011","2011Q2","PRINTING AND REPRODUCTION","2,791.70","195.00"
"OFFICE OF THE MAJORITY LEADER","FISCAL YEAR 2011","2011Q2","OTHER SERVICES","23,784.88","23,700.00"
"OFFICE OF THE MAJORITY LEADER","FISCAL YEAR 2011","2011Q2","SUPPLIES AND MATERIALS","30,597.26","9,160.55"
"OFFICE OF THE MAJORITY LEADER","FISCAL YEAR 2011","2011Q2","PERSONNEL BENEFITS","2,499.99","0.00"
"OFFICE OF THE MINORITY LEADER","FISCAL YEAR 2011","2011Q2","PERSONNEL COMPENSATION","641,234.14","156,686.78"
"OFFICE OF THE MINORITY LEADER","FISCAL YEAR 2011","2011Q2","PERSONNEL COMPENSATION","1,801,370.39","674,578.15"
"OFFICE OF THE MINORITY LEADER","FISCAL YEAR 2011","2011Q2","TRAVEL","56,781.37","32,514.94"
"OFFICE OF THE MINORITY LEADER","FISCAL YEAR 2011","2011Q2","RENT, COMMUNICATION, UTILITIES","4,616.82","1,226.61"
"OFFICE OF THE MINORITY LEADER","FISCAL YEAR 2011","2011Q2","PRINTING AND REPRODUCTION","9,366.67","4,908.30"
"OFFICE OF THE MINORITY LEADER","FISCAL YEAR 2011","2011Q2","OTHER SERVICES","57,024.50","27,176.25"
"OFFICE OF THE MINORITY LEADER","FISCAL YEAR 2011","2011Q2","SUPPLIES AND MATERIALS","215,309.29","64,710.48"
"OFFICE OF THE MINORITY LEADER","FISCAL YEAR 2011","2011Q2","EQUIPMENT","499.00","499.00"
"OFFICE OF THE MINORITY LEADER","FISCAL YEAR 2011","2011Q2","PERSONNEL BENEFITS","2,499.99","0.00"
"OFFICE OF THE MAJORITY WHIP","FISCAL YEAR 2011","2011Q2","PERSONNEL COMPENSATION","243,449.50","137,125.00"
"OFFICE OF THE MAJORITY WHIP","FISCAL YEAR 2011","2011Q2","PERSONNEL COMPENSATION","1,112,998.79","334,291.66"
"OFFICE OF THE MAJORITY WHIP","FISCAL YEAR 2011","2011Q2","TRAVEL","1,897.13","969.86"
"OFFICE OF THE MAJORITY WHIP","FISCAL YEAR 2011","2011Q2","RENT, COMMUNICATION, UTILITIES","2,878.76","180.46"
"OFFICE OF THE MAJORITY WHIP","FISCAL YEAR 2011","2011Q2","PRINTING AND REPRODUCTION","2,393.25","505.45"
"OFFICE OF THE MAJORITY WHIP","FISCAL YEAR 2011","2011Q2","OTHER SERVICES","5,238.60","2,250.00"
"OFFICE OF THE MAJORITY WHIP","FISCAL YEAR 2011","2011Q2","SUPPLIES AND MATERIALS","108,045.15","48,477.04"
"OFFICE OF THE MAJORITY WHIP","FISCAL YEAR 2011","2011Q2","EQUIPMENT","16,836.00","7,500.05"
"OFFICE OF THE MINORITY WHIP","FISCAL YEAR 2011","2011Q2","PERSONNEL COMPENSATION","87,705.65","0.00"
"OFFICE OF THE MINORITY WHIP","FISCAL YEAR 2011","2011Q2","PERSONNEL COMPENSATION","992,447.93","358,343.00"
"OFFICE OF THE MINORITY WHIP","FISCAL YEAR 2011","2011Q2","TRAVEL","1,709.75","767.70"
"OFFICE OF THE MINORITY WHIP","FISCAL YEAR 2011","2011Q2","RENT, COMMUNICATION, UTILITIES","4,428.52","0.00"
"OFFICE OF THE MINORITY WHIP","FISCAL YEAR 2011","2011Q2","PRINTING AND REPRODUCTION","22,321.06","304.00"
"OFFICE OF THE MINORITY WHIP","FISCAL YEAR 2011","2011Q2","OTHER SERVICES","4,272.14","208.54"
"OFFICE OF THE MINORITY WHIP","FISCAL YEAR 2011","2011Q2","SUPPLIES AND MATERIALS","81,090.14","16,261.67"
"OFFICE OF THE MINORITY WHIP","FISCAL YEAR 2011","2011Q2","PERSONNEL BENEFITS","1,055.54","0.00"
"DEMOCRATIC STEERING AND POLICY","FISCAL YEAR 2011","2011Q2","PERSONNEL COMPENSATION","420,047.82","96,166.65"
"DEMOCRATIC STEERING AND POLICY","FISCAL YEAR 2011","2011Q2","PERSONNEL COMPENSATION","599,212.47","184,562.76"
"DEMOCRATIC CAUCUS","FISCAL YEAR 2011","2011Q2","PERSONNEL COMPENSATION","251,562.50","97,187.49"
"DEMOCRATIC CAUCUS","FISCAL YEAR 2011","2011Q2","PERSONNEL COMPENSATION","791,004.66","224,587.52"
"DEMOCRATIC CAUCUS","FISCAL YEAR 2011","2011Q2","TRAVEL","17,595.24","28.00"
"DEMOCRATIC CAUCUS","FISCAL YEAR 2011","2011Q2","RENT, COMMUNICATION, UTILITIES","1,155.00","0.00"
"DEMOCRATIC CAUCUS","FISCAL YEAR 2011","2011Q2","PRINTING AND REPRODUCTION","1,068.50","1,068.50"
"DEMOCRATIC CAUCUS","FISCAL YEAR 2011","2011Q2","OTHER SERVICES","3,602.14","890.60"
"DEMOCRATIC CAUCUS","FISCAL YEAR 2011","2011Q2","SUPPLIES AND MATERIALS","36,337.83","8,170.89"
"REPUBLICAN CONFERENCE","FISCAL YEAR 2011","2011Q2","PERSONNEL COMPENSATION","232,910.30","76,250.01"
"REPUBLICAN CONFERENCE","FISCAL YEAR 2011","2011Q2","PERSONNEL COMPENSATION","736,786.05","245,166.67"
"REPUBLICAN CONFERENCE","FISCAL YEAR 2011","2011Q2","TRAVEL","3,989.96","79.00"
"REPUBLICAN CONFERENCE","FISCAL YEAR 2011","2011Q2","RENT, COMMUNICATION, UTILITIES","5,252.16","1,655.56"
"REPUBLICAN CONFERENCE","FISCAL YEAR 2011","2011Q2","OTHER SERVICES","100.00","0.00"
"REPUBLICAN CONFERENCE","FISCAL YEAR 2011","2011Q2","SUPPLIES AND MATERIALS","107,804.04","45,635.35"
"REPUBLICAN POLICY COMMITTEE","FISCAL YEAR 2011","2011Q2","PERSONNEL COMPENSATION","167,996.74","80,000.04"
"REPUBLICAN POLICY COMMITTEE","FISCAL YEAR 2011","2011Q2","OTHER SERVICES","47.00","0.00"
"REPUBLICAN POLICY COMMITTEE","FISCAL YEAR 2011","2011Q2","SUPPLIES AND MATERIALS","176.48","0.00"
"REPUBLICAN STEERING COMMITTEE","FISCAL YEAR 2011","2011Q2","PERSONNEL COMPENSATION","512,851.02","154,649.15"
"REPUBLICAN STEERING COMMITTEE","FISCAL YEAR 2011","2011Q2","PERSONNEL COMPENSATION","12,408.55","7,000.00"
"MINORITY EMPLOYEES","FISCAL YEAR 2011","2011Q2","PERSONNEL COMPENSATION","1,022,266.50","380,788.50"
"LEGISLATIVE FLOOR ACTIVITIES","FISCAL YEAR 2011","2011Q2","PERSONNEL COMPENSATION","249,663.06","32,499.99"
"RC-TRAINING & PROGRAM DEVEL.","FISCAL YEAR 2011","2011Q2","PERSONNEL COMPENSATION","94,170.86","22,500.00"
"DS-TRAINING & PROGRAM DEVEL.","FISCAL YEAR 2011","2011Q2","PERSONNEL COMPENSATION","186,304.30","75,778.41"
"CLOAKROOM PERSONNEL - MAJ","FISCAL YEAR 2011","2011Q2","PERSONNEL COMPENSATION","280,169.04","84,479.17"
"CLOAKROOM PERSONNEL - MIN","FISCAL YEAR 2011","2011Q2","PERSONNEL COMPENSATION","335,953.29","120,355.89"
"CHIEF ADMIN OFCR OF THE HOUSE","FISCAL YEAR 2011","2011Q2","OTHER SERVICES","797,394.68","135,926.92"
"CHIEF ADMIN OFCR OF THE HOUSE","FISCAL YEAR 2011","2011Q2","SUPPLIES AND MATERIALS","52,640.00","52,640.00"
"CHIEF ADMIN OFCR OF THE HOUSE","FISCAL YEAR 2011","2011Q2","EQUIPMENT","755,872.06","98,335.94"
"CHIEF ADMIN OFCR OF THE HOUSE","FISCAL YEAR 2011","2011Q2","EQUIPMENT","1,655,040.00","0.00"
"CHIEF ADMIN OFCR OF THE HOUSE","FISCAL YEAR 2011","2011Q2","OTHER SERVICES","214,069.36","80,276.01"
"CHIEF ADMIN OFCR OF THE HOUSE","FISCAL YEAR 2011","2011Q2","SUPPLIES AND MATERIALS","13,951.27","6,423.10"
