"OFFICE","YEAR","QUARTER","CATEGORY","YTD","AMOUNT"
"COMMUNICATIONS","FISCAL YEAR 2010","2010Q2","OTHER SERVICES","2,405.00","650.00"
"COMMUNICATIONS","FISCAL YEAR 2010","2010Q2","SUPPLIES AND MATERIALS","979.36","0.00"
"COMMUNICATIONS","FISCAL YEAR 2010","2010Q2","EQUIPMENT","46,619.91","12,804.59"
"OFFICE OF THE SPEAKER","FISCAL YEAR 2010","2010Q2","PERSONNEL COMPENSATION","669,002.91","221,935.83"
"OFFICE OF THE SPEAKER","FISCAL YEAR 2010","2010Q2","PERSONNEL COMPENSATION","2,809,262.92","951,877.80"
"OFFICE OF THE SPEAKER","FISCAL YEAR 2010","2010Q2","TRAVEL","48,281.41","25,655.80"
"OFFICE OF THE SPEAKER","FISCAL YEAR 2010","2010Q2","RENT, COMMUNICATION, UTILITIES","17,751.65","2,650.35"
"OFFICE OF THE SPEAKER","FISCAL YEAR 2010","2010Q2","PRINTING AND REPRODUCTION","14,035.08","5,153.70"
"OFFICE OF THE SPEAKER","FISCAL YEAR 2010","2010Q2","OTHER SERVICES","66,772.16","25,372.27"
"OFFICE OF THE SPEAKER","FISCAL YEAR 2010","2010Q2","SUPPLIES AND MATERIALS","217,422.97","134,404.38"
"OFFICE OF THE SPEAKER","FISCAL YEAR 2010","2010Q2","SUPPLIES AND MATERIALS","23,487.33","9,179.50"
"OFFICE OF THE MAJORITY LEADER","FISCAL YEAR 2010","2010Q2","PERSONNEL COMPENSATION","334,108.37","109,608.35"
"OFFICE OF THE MAJORITY LEADER","FISCAL YEAR 2010","2010Q2","PERSONNEL COMPENSATION","1,414,410.06","482,214.91"
"OFFICE OF THE MAJORITY LEADER","FISCAL YEAR 2010","2010Q2","TRAVEL","133.15","0.00"
"OFFICE OF THE MAJORITY LEADER","FISCAL YEAR 2010","2010Q2","RENT, COMMUNICATION, UTILITIES","157.30","0.00"
"OFFICE OF THE MAJORITY LEADER","FISCAL YEAR 2010","2010Q2","PRINTING AND REPRODUCTION","475.60","57.20"
"OFFICE OF THE MAJORITY LEADER","FISCAL YEAR 2010","2010Q2","OTHER SERVICES","403.18","116.71"
"OFFICE OF THE MAJORITY LEADER","FISCAL YEAR 2010","2010Q2","SUPPLIES AND MATERIALS","57,699.25","26,762.60"
"OFFICE OF THE MAJORITY LEADER","FISCAL YEAR 2010","2010Q2","PERSONNEL BENEFITS","7,499.97","2,499.99"
"OFFICE OF THE MINORITY LEADER","FISCAL YEAR 2010","2010Q2","PERSONNEL COMPENSATION","913,720.46","329,899.60"
"OFFICE OF THE MINORITY LEADER","FISCAL YEAR 2010","2010Q2","PERSONNEL COMPENSATION","1,328,819.67","462,614.78"
