"OFFICE","YEAR","QUARTER","CATEGORY","YTD","AMOUNT"
"COMMUNICATIONS","FISCAL YEAR 2010","2010Q3","OTHER SERVICES","4,821.00","2,416.00"
"COMMUNICATIONS","FISCAL YEAR 2010","2010Q3","SUPPLIES AND MATERIALS","10,789.36","9,810.00"
"COMMUNICATIONS","FISCAL YEAR 2010","2010Q3","EQUIPMENT","55,422.97","8,803.06"
"OFFICE OF THE SPEAKER","FISCAL YEAR 2010","2010Q3","PERSONNEL COMPENSATION","756,294.58","87,291.67"
"OFFICE OF THE SPEAKER","FISCAL YEAR 2010","2010Q3","PERSONNEL COMPENSATION","3,668,041.27","858,778.35"
"OFFICE OF THE SPEAKER","FISCAL YEAR 2010","2010Q3","TRAVEL","84,358.67","36,077.26"
"OFFICE OF THE SPEAKER","FISCAL YEAR 2010","2010Q3","RENT, COMMUNICATION, UTILITIES","19,138.13","1,386.48"
"OFFICE OF THE SPEAKER","FISCAL YEAR 2010","2010Q3","PRINTING AND REPRODUCTION","19,259.52","5,224.44"
"OFFICE OF THE SPEAKER","FISCAL YEAR 2010","2010Q3","OTHER SERVICES","89,656.16","22,884.00"
"OFFICE OF THE SPEAKER","FISCAL YEAR 2010","2010Q3","SUPPLIES AND MATERIALS","265,872.37","48,449.40"
"OFFICE OF THE SPEAKER","FISCAL YEAR 2010","2010Q3","EQUIPMENT","499.00","499.00"
"OFFICE OF THE SPEAKER","FISCAL YEAR 2010","2010Q3","RENT, COMMUNICATION, UTILITIES","45.38","45.38"
"OFFICE OF THE SPEAKER","FISCAL YEAR 2010","2010Q3","OTHER SERVICES","0.00","0.00"
"OFFICE OF THE SPEAKER","FISCAL YEAR 2010","2010Q3","SUPPLIES AND MATERIALS","24,048.80","561.47"
"OFFICE OF THE MAJORITY LEADER","FISCAL YEAR 2010","2010Q3","PERSONNEL COMPENSATION","418,983.38","84,875.01"
"OFFICE OF THE MAJORITY LEADER","FISCAL YEAR 2010","2010Q3","PERSONNEL COMPENSATION","1,993,177.11","578,767.05"
"OFFICE OF THE MAJORITY LEADER","FISCAL YEAR 2010","2010Q3","TRAVEL","227.09","93.94"
"OFFICE OF THE MAJORITY LEADER","FISCAL YEAR 2010","2010Q3","RENT, COMMUNICATION, UTILITIES","157.30","0.00"
"OFFICE OF THE MAJORITY LEADER","FISCAL YEAR 2010","2010Q3","PRINTING AND REPRODUCTION","709.10","233.50"
"OFFICE OF THE MAJORITY LEADER","FISCAL YEAR 2010","2010Q3","OTHER SERVICES","583.56","180.38"
"OFFICE OF THE MAJORITY LEADER","FISCAL YEAR 2010","2010Q3","SUPPLIES AND MATERIALS","73,290.09","15,590.84"
"OFFICE OF THE MAJORITY LEADER","FISCAL YEAR 2010","2010Q3","PERSONNEL BENEFITS","9,999.96","2,499.99"
"OFFICE OF THE MINORITY LEADER","FISCAL YEAR 2010","2010Q3","PERSONNEL COMPENSATION","1,231,570.43","317,849.97"
